anio;periodo;mes;area;ciudad;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos
2008;6;Junio;1;170150;72.3118;52.3391;5.9075;94.0925;71.0443;20.2407;63.3384;9.6734;6.2818;13.5574;33.6762;35.3245;10.5575;10.9579;7.0361;13.3386;80.6044;8.5171;1.849
2008;6;Junio;1;180150;69.111;51.6291;4.2328;95.7672;71.2923;24.0018;51.6392;12.8469;8.7937;20.6408;36.0347;30.1135;7.697;8.2033;5.9914;18.9838;82.4969;14.8172;3.9866
2008;6;Junio;2;070150;57.1429;48.0;0.0;100.0;83.3333;16.6667;41.6667;16.6667;0.0;41.6667;100.0;78.7443;20.0;0.0;0.0;0.0;33.3333;8.6957;0.0
2008;6;Junio;2;170150;100.0;53.8462;14.2857;85.7143;16.6667;50.0;28.5714;14.2857;0.0;42.8571;100.0;62.069;50.0;0.0;0.0;0.0;71.4286;0.0;0.0
2008;6;Junio;2;180150;77.1429;51.9231;0.0;100.0;37.037;51.8519;37.037;22.2222;11.1111;18.5185;88.0342;64.596;11.1111;0.0;0.0;25.9259;73.913;13.3333;0.0
2008;9;Septiembre;1;010150;66.1287;49.3058;5.7646;94.2354;65.3951;24.9596;63.0829;7.2709;5.5935;17.8903;28.853;34.8967;11.8846;11.4271;2.8237;20.5944;81.6197;11.0922;3.8317
2008;9;Septiembre;1;070150;75.0457;52.4382;7.9733;92.0267;46.3708;46.2762;50.4848;17.0154;7.3196;17.2069;43.8017;35.6752;12.6892;12.3753;8.1938;9.9428;73.2766;17.7758;3.0585
2008;9;Septiembre;1;090150;72.4119;51.8955;8.5932;91.4068;53.4368;39.4241;53.9868;15.3533;5.7997;15.9809;38.6599;29.6924;17.3372;17.1014;4.827;13.3532;75.057;13.4331;4.0146
2008;9;Septiembre;1;170150;70.7827;53.0304;6.1681;93.8319;68.4366;24.2578;61.8564;9.8942;6.8683;14.5308;30.864;38.9165;6.7792;10.9314;5.7416;14.6019;81.5281;8.5172;1.5596
2008;9;Septiembre;1;180150;69.3081;52.7023;4.0034;95.9966;67.5364;26.4694;51.9166;10.09;10.003;23.1615;35.3323;16.2432;10.1961;9.1948;6.307;21.2602;83.118;19.0607;4.9013
2008;12;Diciembre;1;010150;65.5684;48.6252;4.3935;95.6065;70.2955;23.9473;66.0575;7.0547;6.1237;16.2295;26.3844;36.053;7.1248;5.8826;1.1161;21.5548;84.5592;8.1069;2.4949
2008;12;Diciembre;1;070150;70.9619;49.6613;8.7029;91.2971;51.2388;44.3159;53.7835;14.025;5.066;18.2546;42.7501;32.6373;17.8143;16.2533;4.3018;7.6985;74.4257;17.6759;3.4405
2008;12;Diciembre;1;090150;70.9823;50.2639;9.4829;90.5171;54.1774;39.6063;55.5487;15.5077;4.934;14.4751;40.2315;28.2354;17.144;18.2797;2.9944;13.6195;76.1142;13.1022;2.9387
2008;12;Diciembre;1;170150;68.0879;50.6169;5.8753;94.1247;70.8812;19.5864;63.8999;8.7998;5.658;14.8235;26.7717;34.7441;8.4912;9.1386;6.3436;15.3021;79.8351;9.9939;2.4656
2008;12;Diciembre;1;180150;70.5176;53.4681;3.7541;96.2459;67.8893;27.5035;54.4916;10.5603;7.7415;23.1518;36.4678;34.3391;7.9474;8.4411;6.4243;20.784;83.1386;13.5778;2.3913
2008;12;Diciembre;2;070150;65.3158;44.7702;8.3137;91.6863;52.0904;27.5465;54.0288;17.4833;0.0;20.1742;80.9833;43.5694;22.7366;15.3065;2.4907;2.5363;65.1256;31.3788;9.8428
2008;12;Diciembre;2;090150;42.8571;31.25;0.0;100.0;26.6667;53.3333;40.0;0.0;0.0;60.0;;;27.2727;0.0;0.0;0.0;73.913;54.1667;12.5
2008;12;Diciembre;2;170150;71.4286;55.5556;16.0;84.0;38.0952;47.619;32.0;32.0;0.0;20.0;57.5758;36.5231;45.4545;16.6667;0.0;9.5238;47.3684;53.3333;13.3333
2008;12;Diciembre;2;180150;76.1905;57.1429;3.125;96.875;48.3871;45.1613;43.75;12.5;12.5;28.125;75.641;33.4343;25.0;0.0;0.0;22.5806;80.0;42.8571;8.9286
2009;3;Marzo;1;010150;62.8474;48.0115;4.9234;95.0766;70.7801;22.3308;57.5834;8.4859;5.4214;22.7428;27.8868;32.0227;8.8851;10.2713;1.5653;21.2423;82.3108;10.9105;2.6072
2009;3;Marzo;1;070150;72.8175;50.6057;11.0433;88.9567;54.9349;38.3579;43.2493;20.0803;6.0188;19.2859;44.0362;34.1471;15.5378;17.4506;5.3118;8.7044;78.7742;19.7953;6.2147
2009;3;Marzo;1;090150;71.5262;50.6911;14.1308;85.8692;55.2479;37.1585;43.3253;20.0197;4.8979;17.065;38.8076;31.8243;17.1371;22.1817;4.8564;13.3362;77.5245;23.4017;6.0146
2009;3;Marzo;1;170150;69.814;51.3334;7.212;92.788;70.4406;21.293;55.642;14.4703;6.0642;14.6134;28.2371;32.6966;9.6893;11.2769;8.8469;15.4734;81.6954;10.8788;3.7675
2009;3;Marzo;1;180150;70.4159;53.777;4.0663;95.9337;71.265;25.5657;42.1374;14.0231;9.5045;29.2913;32.0719;29.9456;9.2954;7.7171;4.7789;20.1076;82.7062;16.9775;5.7857
2009;6;Junio;1;010150;65.108;49.1541;4.4794;95.5206;71.5054;22.2901;58.9758;7.583;4.9646;22.9301;26.4235;37.4296;9.8796;8.2072;2.4809;21.5199;80.8459;11.4166;2.6267
2009;6;Junio;1;070150;72.8548;51.0757;9.4837;90.5163;51.3174;43.675;45.2358;19.4667;6.5559;18.7021;37.9055;24.3294;12.6;13.7402;6.1931;9.1648;78.5081;20.674;4.4594
2009;6;Junio;1;090150;72.1754;51.9253;12.6861;87.3139;56.382;37.0805;48.6204;16.2348;4.9157;16.993;40.7657;35.1352;18.1659;22.5184;3.5112;14.7386;75.6817;17.7752;4.3127
2009;6;Junio;1;170150;67.5015;50.3042;5.3048;94.6952;71.5004;19.9526;59.4847;10.7842;5.9239;13.6275;24.9307;38.4286;6.4608;7.6762;4.9766;14.3661;83.6968;11.1112;3.3751
2009;6;Junio;1;180150;69.7249;52.202;4.3968;95.6032;73.6998;23.4688;51.6779;7.1924;9.9014;25.6266;26.3981;21.3042;7.3047;8.5276;3.5045;22.8087;84.5668;13.9574;2.7974
2009;9;Septiembre;1;010150;66.339;50.5739;6.5264;93.4736;74.2203;23.6906;57.8802;6.8289;5.6574;21.7816;24.279;28.8394;10.7074;11.4916;3.0932;20.719;82.3666;11.3767;4.1007
2009;9;Septiembre;1;070150;73.3353;51.778;9.636;90.364;55.2908;39.489;42.6676;21.2066;5.2868;20.2032;38.8641;41.0647;14.5005;13.4254;4.4383;9.0993;77.8514;20.0788;5.6018
2009;9;Septiembre;1;090150;73.3051;51.3537;13.0146;86.9854;55.3238;37.9565;47.3648;19.193;3.4085;15.8829;40.533;28.5039;20.0562;20.8491;2.1031;14.1875;74.6528;19.167;3.973
2009;9;Septiembre;1;170150;66.2801;50.9243;6.1291;93.8709;74.9066;17.2318;55.6827;11.0093;4.4139;14.799;20.5541;39.1242;12.1744;11.4531;2.6259;14.5764;80.5641;14.7623;4.3095
2009;9;Septiembre;1;180150;67.1069;50.8804;3.7155;96.2845;74.4218;20.3843;50.6171;8.9475;9.2942;25.1149;31.5934;34.9075;7.7796;6.8074;3.902;19.7486;87.749;15.3702;3.7808
2009;12;Diciembre;1;010150;63.792;49.2385;4.6845;95.3155;68.9974;24.3832;60.0073;8.0116;6.2283;19.4442;18.4621;23.4485;10.1351;7.7714;2.5375;17.9539;80.1643;11.3476;3.6594
2009;12;Diciembre;1;070150;71.7264;51.4234;8.3863;91.6137;56.7406;36.7185;49.07;18.7263;3.6024;19.4149;39.2821;35.4015;16.1951;12.4744;1.4787;8.5183;73.1502;16.0286;4.108
2009;12;Diciembre;1;090150;69.6609;48.987;11.7122;88.2878;57.0434;34.8717;51.2422;15.8532;3.583;16.8541;38.3975;31.5373;19.8269;22.1441;1.5318;12.6715;73.8765;20.0746;4.0205
2009;12;Diciembre;1;170150;66.2439;51.9464;6.0808;93.9192;72.521;19.9182;52.0317;9.5556;5.8907;15.0525;20.3306;32.4804;8.7018;8.7574;2.9387;13.0589;80.0694;12.1061;4.1945
2009;12;Diciembre;1;180150;70.172;54.0506;3.8739;96.1261;67.9426;27.4672;44.9135;8.8453;10.1825;28.3325;41.0595;30.9883;10.4486;9.3153;4.2491;22.1087;82.2169;17.1019;5.1755
2009;12;Diciembre;2;070150;70.7657;51.9415;2.9131;97.0869;62.9793;14.9837;47.0473;20.9917;2.4276;26.6203;54.7031;7.2604;7.0855;2.4174;2.1574;4.92;60.7321;34.8493;2.8106
2009;12;Diciembre;2;090150;72.2222;44.8276;3.8462;96.1538;8.0;40.0;26.9231;26.9231;7.6923;34.6154;-2.2727;6.2213;18.1818;12.5;23.5294;8.0;78.5714;44.8276;0.0
2009;12;Diciembre;2;170150;65.0;32.5;7.6923;92.3077;25.0;75.0;46.1538;23.0769;0.0;23.0769;33.3333;7.7172;0.0;20.0;8.3333;16.6667;75.0;50.0;22.5
2009;12;Diciembre;2;180150;63.929;50.0;10.6415;89.3585;21.8016;45.1667;16.6696;23.8928;2.6098;46.1863;76.5487;54.5412;16.7709;25.2352;0.0;9.4405;78.1342;61.6562;29.479
2010;3;Marzo;1;010150;66.1115;50.5842;3.7703;96.2297;68.3008;25.4483;58.0604;8.3354;7.2003;21.4668;25.8139;27.4112;10.8831;7.6247;2.5783;19.416;77.8173;13.4591;2.9694
2010;3;Marzo;1;070150;71.0296;50.7815;8.0898;91.9102;56.5866;36.2993;46.2975;16.821;5.0906;22.0925;40.4596;28.6399;16.9011;16.283;4.8108;9.6796;75.5365;15.291;3.2774
