p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2011;10150;AZUAY;CUENCA;CUENCA;63,75315;49,06475;3,945025;96,054975;75,65505;19,6708;60,11285;7,32295;6,4032;21,772075;28,1133;27,884025;7,952175;8,569175;1,77765;18,06525;82,49345;8,999925;2,67815;13,06445;2,334;9,6318
2011;70150;EL ORO;MACHALA;MACHALA;66,55415;49,331975;5,808125;94,191875;60,851475;34,829575;51,44995;11,2693;4,587925;26,082625;35,504175;21,9083;15,2699;13,24455;1,320925;10,35985;77,062175;12,848375;2,69345;23,8693;6,4252;25,00245
2011;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;67,753225;49,31145;7,7976;92,2024;59,0939;35,797525;52,597725;12,254575;3,966675;22,331875;35,521175;31,5869;18,248375;16,070425;0,784625;14,386075;76,314575;13,6647;2,8092;26,3303;6,9561;26,42615
2011;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;60,22855;47,39545;4,51415;95,48585;73,5646;19,350225;64,1032;5,984125;4,2564;17,927125;21,472925;28,61375;10,601725;7,9019;1,382725;15,078675;81,6547;9,615025;2,990975;9,0621;2,16435;10,1547
2011;180150;TUNGURAHUA;AMBATO;AMBATO;66,039275;50,78375;3,641975;96,358025;76,921975;18,731525;58,0567;6,81915;10,075;20,731425;30,553375;26,647525;8,8161;8,53745;3,0318;20,56355;83,629575;10,9093;2,702;14,56075;1,8074;11,6561
2012;10150;AZUAY;CUENCA;CUENCA;62,37895;47,59105;4,04955;95,95045;76,877425;19,1617;65,6275;4,535825;5,50705;19,4283;27,181175;32,235425;8,5351;7,8042;0,721325;20,610025;83,21165;8,5355;1,97105;8,66415;1,52015;6,75075
2012;70150;EL ORO;MACHALA;MACHALA;65,8459;49,1923;4,85205;95,14795;60,804125;35,172725;55,302375;9,010025;4,29335;25,307675;35,300675;18,69685;15,117975;10,698325;0,717525;9,154375;74,7575;9,791225;1,0399;23,0888;4,5496;20,7647
2012;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;66,622325;49,9918;6,15405;93,84595;61,33955;34,782825;58,823975;8,429375;4,82295;20,072725;31,119125;26,277375;18,010925;14,634025;0,840625;11,32795;76,777525;10,01915;1,93005;12,95105;1,52955;14,4805
2012;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;62,71935;49,2348;3,940475;96,059525;74,591225;18,3387;62,7788;5,318875;4,41265;16,897475;21,617275;24,03935;10,961225;7,4644;1,20605;14,619425;79,8393;8,063775;2,3557;7,7167;1,59285;9,0407
2012;180150;TUNGURAHUA;AMBATO;AMBATO;65,9525;50,9316;3,813875;96,186125;76,342925;17,63945;56,961075;6,604275;9,2322;21,35705;27,60035;26,3794;10,615175;7,919625;2,8653;20,9405;82,106075;8,363275;1,767525;11,7707;1,2685;9,5488
2013;10150;AZUAY;CUENCA;CUENCA;62,13615;47,538675;3,911275;96,088725;79,3981;16,678875;68,387625;4,7479;4,8827;17,74415;24,74365;26,19135;9,822;6,98735;0,258025;19,46975;83,050375;6,078325;1,2928;7,2668;0,96505;6,62355
2013;70150;EL ORO;MACHALA;MACHALA;63,9621;47,314125;3,71995;96,28005;61,177325;34,0224;53,703175;9,49045;4,631875;26,6017;33,21675;14,84125;19,766925;9,088575;1,28015;9,829425;74,942475;12,1128;2,093525;20,635;4,46655;22,1747
2013;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;64,066325;47,6316;5,66135;94,33865;58,727675;35,584675;54,2679;10,072275;4,07105;24,259375;31,68295;25,425925;19,563625;12,888875;0,891825;13,35645;75,136675;14,118125;3,097275;23,00775;3,41715;23,19585
2013;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;60,887875;47,139425;4,28095;95,71905;75,738925;17,9846;64,615325;5,960225;3,84195;17,5634;16,43895;17,461025;13,7629;7,897725;0,4716;13,672425;80,156175;8,772575;2,445375;7,6638;1,0721;8,109
