p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2023;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,4714;48,97488333;7,731325;92,268675;68,09873333;26,732325;55,70255;14,69363333;3,601;17,64048333;20,06935833;13,40054167;16,44446667;15,334825;0,10995;12,42266667;79,93079167;10,54268333;3,071433333;7,134866667;0,222525;6,088425
2023;180150;TUNGURAHUA;AMBATO;AMBATO;72,105875;55,41639167;4,138141667;95,86185833;69,735;27,10106667;44,10614167;20,13598333;9,130141667;21,95501667;23,660825;20,21534167;10,55838333;9,107025;5,006708333;18,25285;81,84035;8,335158333;2,308425;8,576433333;0,298775;4,390225
2024;10150;AZUAY;CUENCA;CUENCA;63,944675;48,557325;4,941158333;95,05884167;71,96399167;24,4094;59,47383333;11,7726;4,898966667;18,88116667;22,26019167;17,08131667;11,26214167;9,674541667;0,663866667;16,42425;82,49006667;4,297108333;1,004675;7,213958333;0,386766667;6,134091667
2024;70150;EL ORO;MACHALA;MACHALA;63,36174167;46,30155;5,982883333;94,01711667;57,69;36,136825;45,443725;22,121225;3,828808333;22,623325;29,22909167;17,46418333;19,83973333;11,47298333;0,63825;8,226108333;77,32248333;11,48645833;2,591483333;18,03424167;1,748558333;19,419075
2024;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;58,99379167;42,15618333;3,444875;96,555125;49,77651667;46,85721667;46,41380833;21,29340833;2,7722;25,83454167;24,15963333;18,33285833;23,070275;9,771558333;0,04755;15,74094167;76,8941;15,9505;3,026891667;21,707;2,218658333;23,58498333
2024;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,57558333;48,5829;8,2428;91,7572;70,04041667;25,22440833;53,38140833;14,26981667;3,455041667;20,39469167;23,005325;19,189;17,83413333;17,33569167;0,171825;11,76446667;80,51628333;10,98925833;3,322741667;6,463341667;0,284991667;6,543783333
2024;180150;TUNGURAHUA;AMBATO;AMBATO;71,86545833;55,7505;4,845816667;95,15418333;72,28164167;23,925825;43,64976667;19,912125;8,614908333;22,58711667;26,39249167;19,554825;11,755975;10,89215;4,439066667;17,58701667;83,262975;7,783975;2,606058333;7,086941667;0,415183333;4,257966667
2025;10150;AZUAY;CUENCA;CUENCA;64,9897;48,12873333;4,102766667;95,89723333;69,17933333;25,51651111;59,4674;9,626344444;6,151144444;20,65236667;28,46736667;22,90552222;13,42271111;8,502311111;0,399966667;17,67324444;83,86797778;6,725044444;1,429077778;8,067744444;0,194177778;7,095833333
2025;70150;EL ORO;MACHALA;MACHALA;62,97376667;46,44558889;4,894444444;95,10555556;55,25948889;37,38323333;44,97835556;21,14202222;3,565766667;25,4194;30,56815556;18,60075556;21,02112222;10,30743333;0,500322222;8,412044444;77,83321111;10,44414444;1,9948;15,53534444;1,7978;18,44716667
2025;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;57,97222222;41,5992;3,220855556;96,77914444;51,74583333;44,13944444;48,25242222;20,92741111;2,193511111;24,99466667;20,94833333;13,70935556;22,69463333;8,814622222;0;15,94134444;77,52135556;12,81467778;2,166144444;19,34804444;2,566922222;23,06587778
2025;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,33307778;48,15315556;7,574255556;92,42574444;68,79194444;25,28263333;55,55178889;13,07401111;3,008722222;20,63811111;21,24212222;18,03204444;16,09408889;16,74758889;0,145733333;13,06365556;82,15911111;9,205955556;3,038422222;6,785144444;0,018544444;6,148188889
2025;180150;TUNGURAHUA;AMBATO;AMBATO;69,51143333;53,71515556;3,453777778;96,54622222;72,04716667;25,14494444;47,31124444;16,08275556;8,474933333;24,46504444;28,58304444;21,36418889;10,72035556;9,012077778;0,997377778;17,11354444;86,73648889;7,403911111;2,390511111;4,443855556;0,029822222;4,920166667
